epoch,accuracy,auc,auc_1,loss,lr,precision,recall,val_accuracy,val_auc,val_auc_1,val_loss,val_precision,val_recall
0,0.8939734697341919,0.9256359934806824,0.8690727949142456,0.48378506302833557,0.001,0.8395964503288269,0.892254114151001,0.9122983813285828,0.9813376665115356,0.9173616170883179,0.3109714686870575,0.7415185570716858,0.9704017043113708
1,0.941062331199646,0.9755988717079163,0.9576571583747864,0.12609778344631195,0.001,0.9088082909584045,0.9397267699241638,0.961693525314331,0.9868274331092834,0.9652204513549805,0.1331605464220047,0.8869395852088928,0.9619450569152832
2,0.9562819004058838,0.9850698709487915,0.9771388173103333,0.08229920268058777,0.001,0.9310885071754456,0.9560439586639404,0.9647177457809448,0.989691436290741,0.970359742641449,0.11959495395421982,0.9005964398384094,0.957716703414917
3,0.9721143841743469,0.9923402070999146,0.9872715473175049,0.04745376482605934,0.001,0.9554794430732727,0.9721254110336304,0.9556451439857483,0.9923819303512573,0.9693429470062256,0.13857907056808472,0.8560885787010193,0.9789029359817505
4,0.9717057943344116,0.9930322766304016,0.9894853234291077,0.04719529300928116,0.001,0.9556260108947754,0.9707539677619934,0.9591733813285828,0.9740304946899414,0.9678933620452881,0.20063036680221558,0.9900000095367432,0.8372092843055725
5,0.9652706980705261,0.9904418587684631,0.9834706783294678,0.0595393143594265,0.001,0.9462308883666992,0.9634997248649597,0.9682459831237793,0.9924993515014648,0.9742740392684937,0.1120891198515892,0.9043824672698975,0.968017041683197
6,0.9724208116531372,0.99202960729599,0.9865614175796509,0.04969204217195511,0.001,0.9569125175476074,0.9712905883789062,0.9435483813285828,0.99066561460495,0.9580927491188049,0.20795412361621857,0.8186619877815247,0.9810126423835754
7,0.9727272987365723,0.9938292503356934,0.9893183708190918,0.044566500931978226,0.001,0.9574748873710632,0.9715893864631653,0.9753023982048035,0.9851497411727905,0.9772194027900696,0.1110137403011322,0.9840182662010193,0.9112050533294678
8,0.9615934491157532,0.9861267805099487,0.9757401943206787,0.07898849993944168,0.001,0.9404199719429016,0.9600750207901001,0.9727822542190552,0.9758926630020142,0.9634460210800171,0.15436102449893951,0.9707207083702087,0.9131355881690979
9,0.9721143841743469,0.9911374449729919,0.9854162931442261,0.05685132369399071,0.001,0.955731213092804,0.9718649387359619,0.9793346524238586,0.9876968860626221,0.9769858717918396,0.0998789370059967,0.9694322943687439,0.9426751732826233
10,0.980796754360199,0.993276834487915,0.9888463020324707,0.04057987779378891,0.001,0.9699867367744446,0.9798765778541565,0.9727822542190552,0.980070948600769,0.9705405235290527,0.13494718074798584,0.9838709831237793,0.9008438587188721
11,0.9886618852615356,0.9974002242088318,0.9965918660163879,0.021040547639131546,0.001,0.9816538095474243,0.988752007484436,0.975806474685669,0.9847170114517212,0.9710696935653687,0.12618108093738556,0.954935610294342,0.9427965879440308
12,0.9848825335502625,0.9972218871116638,0.9955121278762817,0.024342266842722893,0.001,0.9760829210281372,0.9844545722007751,0.9682459831237793,0.9702725410461426,0.9652936458587646,0.18598978221416473,0.9880383014678955,0.8768577575683594
13,0.9911133646965027,0.9986907839775085,0.9975026845932007,0.014901540242135525,0.0005,0.986129641532898,0.9906216263771057,0.9702621102333069,0.989107608795166,0.9605457782745361,0.131260946393013,0.908910870552063,0.9724576473236084
14,0.9921348094940186,0.9990729093551636,0.9986785650253296,0.011904512532055378,0.0005,0.987189769744873,0.9922210574150085,0.9742943644523621,0.9884335994720459,0.971996545791626,0.10638364404439926,0.9340206384658813,0.9597457647323608
