epoch,accuracy,auc_4,auc_5,loss,lr,precision_2,recall_2,val_accuracy,val_auc_4,val_auc_5,val_loss,val_precision_2,val_recall_2
0,0.7772347927093506,0.773963451385498,0.6414401531219482,25430.8515625,0.01,0.688683807849884,0.7578834891319275,0.8798859715461731,0.8569866418838501,0.823035478591919,348053.40625,0.9093230962753296,0.7606837749481201
1,0.7729586362838745,0.7705739736557007,0.6349774599075317,335161.25,0.01,0.680861234664917,0.7605558633804321,0.4393322467803955,0.5263102054595947,0.39472880959510803,6746929.0,0.39554712176322937,0.8920940160751343
2,0.8447362780570984,0.8429890871047974,0.7329001426696777,494177.84375,0.01,0.7745850682258606,0.8356493711471558,0.3835504949092865,0.5019736886024475,0.3820408284664154,12829793.0,0.3820408284664154,1.0
3,0.8615353107452393,0.8598467111587524,0.7581179738044739,681335.6875,0.01,0.7977499961853027,0.8527525663375854,0.760993480682373,0.7369208335876465,0.6275799870491028,4819781.5,0.7074910998344421,0.6356837749481201
4,0.9089798331260681,0.9079315066337585,0.8335844874382019,474505.09375,0.005,0.8638221621513367,0.9035274982452393,0.920195460319519,0.9127445220947266,0.8654501438140869,905527.6875,0.906593382358551,0.8814102411270142
5,0.9102016091346741,0.9099460244178772,0.8343083262443542,364504.96875,0.005,0.8627600073814392,0.9088722467422485,0.9026873111724854,0.8860802054405212,0.8527246713638306,1035754.125,0.9193742275238037,0.8162392973899841
6,0.8948279619216919,0.8941370248794556,0.8095038533210754,468686.15625,0.005,0.8419591188430786,0.8912346363067627,0.8794788122177124,0.8451642394065857,0.8507604598999023,2218371.0,0.976190447807312,0.7008547186851501
7,0.8983913660049438,0.8971694707870483,0.8161715865135193,463835.9375,0.005,0.8489318490028381,0.8920363187789917,0.916530966758728,0.9167622923851013,0.8442416787147522,772534.5625,0.8703140616416931,0.9177350401878357
8,0.9148849248886108,0.9149620532989502,0.8416516780853271,333567.09375,0.0025,0.8684077262878418,0.9152859449386597,0.7495928406715393,0.7802519798278809,0.6035182476043701,2318652.75,0.6162201166152954,0.9091880321502686
9,0.9141722917556763,0.9137698411941528,0.8412739038467407,326105.46875,0.0025,0.8691112995147705,0.9120790958404541,0.9124592542648315,0.9122413396835327,0.8381208181381226,695075.5625,0.8659898638725281,0.9113247990608215
10,0.9201791882514954,0.9198035597801208,0.8514975905418396,296141.75,0.0025,0.8778743147850037,0.9182255268096924,0.9291530847549438,0.9099246263504028,0.912265956401825,858226.625,0.9822784662246704,0.8290598392486572
11,0.9196701049804688,0.9189813137054443,0.8511912822723389,308205.75,0.0025,0.8782987594604492,0.9160876274108887,0.8965798020362854,0.8858665227890015,0.829372763633728,1101704.5,0.8822869658470154,0.8408119678497314
12,0.9209936857223511,0.9210780262947083,0.8520622253417969,303546.8125,0.0025,0.8773536682128906,0.921432375907898,0.8692996501922607,0.8463815450668335,0.8030793070793152,1909265.25,0.8897338509559631,0.75
13,0.9204846024513245,0.9202557802200317,0.8517560362815857,334436.5625,0.0025,0.8777749538421631,0.9192944765090942,0.9161238074302673,0.9080184698104858,0.8593980669975281,1135588.0,0.9028697609901428,0.8739316463470459
14,0.9427815079689026,0.9422220587730408,0.8917343616485596,210630.46875,0.00125,0.912558376789093,0.9398717284202576,0.9071661233901978,0.9096069931983948,0.8249735236167908,798837.8125,0.8491124510765076,0.9198718070983887
15,0.9319894313812256,0.9319635033607483,0.8713847994804382,232942.71875,0.00125,0.8941025733947754,0.9318546056747437,0.9413681030273438,0.9335441589355469,0.9059470295906067,539467.1875,0.9429529905319214,0.9006410241127014
16,0.9311749339103699,0.9309973120689392,0.8702508211135864,232279.734375,0.00125,0.8934804797172546,0.9302511811256409,0.9503257274627686,0.9481697082519531,0.9092157483100891,402332.625,0.9311440587043762,0.9391025900840759
17,0.9332111477851868,0.932898998260498,0.8741084933280945,236481.578125,0.00125,0.8970664143562317,0.9315873980522156,0.7117263674736023,0.7490441203117371,0.5668460726737976,4322272.0,0.5776566863059998,0.9059829115867615
18,0.9342292547225952,0.9340295791625977,0.8756839632987976,229432.34375,0.00125,0.8981481194496155,0.9331908226013184,0.8131107687950134,0.8026288151741028,0.6941303014755249,2309472.0,0.7529162168502808,0.7585470080375671
19,0.9283241629600525,0.9276157021522522,0.8662803173065186,236458.375,0.00125,0.8912931680679321,0.9246392250061035,0.9144951105117798,0.9083446264266968,0.8525261878967285,729383.9375,0.8920086622238159,0.882478654384613
