epoch,accuracy,auc_2,auc_3,loss,lr,precision_1,recall_1,val_accuracy,val_auc_2,val_auc_3,val_loss,val_precision_1,val_recall_1
0,0.5759738683700562,0.6009081602096558,0.48624706268310547,0.4727000594139099,0.01,0.4551268517971039,0.5713139176368713,0.7773692607879639,0.7752401828765869,0.7814232110977173,0.5296896696090698,0.8836292028427124,0.479657381772995
1,0.6188048124313354,0.6606323719024658,0.5880608558654785,0.3778461217880249,0.01,0.4994443356990814,0.6019287705421448,0.37867647409439087,0.7755467891693115,0.7814306020736694,1.055431604385376,0.37960687279701233,0.9935691356658936
2,0.6235978007316589,0.6679215431213379,0.599602460861206,0.4121684432029724,0.01,0.5048608183860779,0.6117804646492004,0.3799019753932953,0.7735421657562256,0.7779791951179504,1.4016199111938477,0.38021260499954224,0.9978540539741516
3,0.6378747820854187,0.6835141777992249,0.630774974822998,0.4273921847343445,0.01,0.5206519365310669,0.6241970062255859,0.7144607901573181,0.7750757932662964,0.7807567119598389,0.5656349062919617,0.6046304702758789,0.7269807457923889
4,0.6742810606956482,0.72100430727005,0.7064110040664673,0.31550490856170654,0.005,0.5655737519264221,0.6276083588600159,0.43218955397605896,0.7742237448692322,0.7792613506317139,0.8480759263038635,0.3936861753463745,0.9098712205886841
5,0.6668366193771362,0.7136548757553101,0.6859697103500366,0.335759699344635,0.005,0.5560047626495361,0.6254681944847107,0.7757353186607361,0.7750890254974365,0.7805414795875549,0.5259117484092712,0.9120171666145325,0.45551982522010803
6,0.6639812588691711,0.7133620977401733,0.6953850984573364,0.33833613991737366,0.005,0.5523406267166138,0.6278074979782104,0.375,0.7756099700927734,0.7801376581192017,1.0869702100753784,0.37583333253860474,0.9657387733459473
7,0.6935549378395081,0.7391337156295776,0.7294105291366577,0.2922450304031372,0.0025,0.5909994840621948,0.6360717415809631,0.42810457944869995,0.7742050886154175,0.7790762782096863,0.8530774116516113,0.39234670996665955,0.9121114611625671
8,0.6950846314430237,0.7354907393455505,0.7285165786743164,0.2919214069843292,0.0025,0.5935694575309753,0.6326639652252197,0.6017156839370728,0.774322509765625,0.7799534797668457,0.6442794799804688,0.48619139194488525,0.8122317790985107
9,0.698857843875885,0.7345913648605347,0.7269704937934875,0.29402291774749756,0.0025,0.5975000262260437,0.6402357220649719,0.6613562107086182,0.7750482559204102,0.7804310321807861,0.6007336378097534,0.5384041666984558,0.774678111076355
10,0.7117071151733398,0.7493219375610352,0.7430005073547363,0.275966078042984,0.00125,0.6182432174682617,0.6366069316864014,0.7116013169288635,0.7745949029922485,0.7807199954986572,0.5660696029663086,0.6010591387748718,0.7283422350883484
11,0.7097695469856262,0.7411389350891113,0.7412323951721191,0.27656713128089905,0.00125,0.6167284250259399,0.625,0.781862735748291,0.7745578289031982,0.7802638411521912,0.505992591381073,0.8220064640045166,0.545064389705658
12,0.7094635963439941,0.7386614084243774,0.735763430595398,0.2784329354763031,0.00125,0.6164600253105164,0.6262058019638062,0.7160947918891907,0.7752407789230347,0.7808815240859985,0.5617457628250122,0.607207179069519,0.7224008440971375
