epoch,accuracy,auc_4,auc_5,loss,lr,precision_2,recall_2,val_accuracy,val_auc_4,val_auc_5,val_loss,val_precision_2,val_recall_2
0,0.836057186126709,0.8709076642990112,0.7872307300567627,1.0653984546661377,0.001,0.7606879472732544,0.8306949138641357,0.9259072542190552,0.9623767733573914,0.902546226978302,0.28618568181991577,0.8438818454742432,0.8456659913063049
1,0.9199182987213135,0.9645888209342957,0.9402059316635132,0.16206176578998566,0.001,0.8759254813194275,0.9200857877731323,0.9541330933570862,0.9811194539070129,0.9494484066963196,0.14736337959766388,0.902953565120697,0.9048625826835632
2,0.9407558441162109,0.9786449670791626,0.9658587574958801,0.10349415987730026,0.001,0.9081711769104004,0.9393613934516907,0.9354838728904724,0.986059844493866,0.9452129602432251,0.21026237308979034,0.8024475574493408,0.9683544039726257
3,0.9501532316207886,0.9837049841880798,0.9731499552726746,0.08495695888996124,0.001,0.9234586954116821,0.9477211833000183,0.9324596524238586,0.9873751401901245,0.9530896544456482,0.19606143236160278,0.7907375693321228,0.9746299982070923
4,0.9572012424468994,0.9881918430328369,0.9808232188224792,0.07023727893829346,0.001,0.9341380000114441,0.954935610294342,0.9284273982048035,0.9887990355491638,0.9537064433097839,0.21390900015830994,0.7804054021835327,0.9746835231781006
5,0.9729315638542175,0.993758499622345,0.9896699786186218,0.04258282482624054,0.0005,0.9581567645072937,0.9712751507759094,0.9692540168762207,0.9910795092582703,0.9802220463752747,0.08742417395114899,0.943965494632721,0.9260042309761047
6,0.972318708896637,0.9940104484558105,0.9900501370429993,0.04125971719622612,0.0005,0.9589403867721558,0.9689507484436035,0.9722782373428345,0.9867622256278992,0.9814513921737671,0.10030731558799744,0.9816513657569885,0.9010526537895203
7,0.972318708896637,0.9941582679748535,0.9913668036460876,0.041788499802351,0.0005,0.9563953280448914,0.9715436100959778,0.9349798560142517,0.9916301369667053,0.9626132845878601,0.20182254910469055,0.7935153841972351,0.9830867052078247
8,0.9756894707679749,0.9960871934890747,0.9935011863708496,0.03285273537039757,0.0005,0.961884617805481,0.9747853875160217,0.9657257795333862,0.9931453466415405,0.9802830219268799,0.09725569188594818,0.8947368264198303,0.9704017043113708
9,0.9786517024040222,0.9969740509986877,0.9950835704803467,0.029316909611225128,0.0005,0.9656357169151306,0.9788317084312439,0.9233871102333069,0.9920317530632019,0.9623666405677795,0.21233463287353516,0.7618270516395569,0.9873149991035461
10,0.9846782684326172,0.9974434971809387,0.9970420598983765,0.023432884365320206,0.00025,0.9768123626708984,0.9831008315086365,0.9778226017951965,0.9925479888916016,0.9854836463928223,0.07167969644069672,0.9673202633857727,0.9386892318725586
11,0.983146071434021,0.9973007440567017,0.9959452152252197,0.02423901855945587,0.00025,0.9739153385162354,0.982018232345581,0.9556451439857483,0.9943299293518066,0.9777470827102661,0.1308002769947052,0.8542435169219971,0.9809321761131287
12,0.983146071434021,0.9976052045822144,0.9961014986038208,0.024747876450419426,0.00025,0.9734325408935547,0.9825690388679504,0.9606854915618896,0.9937841892242432,0.9805471301078796,0.10813167691230774,0.8788461685180664,0.9682203531265259
13,0.9835546612739563,0.9978552460670471,0.9973412752151489,0.022966133430600166,0.00025,0.9749800562858582,0.9820375442504883,0.9682459831237793,0.9946529865264893,0.9851183891296387,0.08372748643159866,0.910179615020752,0.9620253443717957
14,0.9865168333053589,0.9988807439804077,0.9984411597251892,0.016509080305695534,0.000125,0.9789614081382751,0.9857870936393738,0.9778226017951965,0.9910557270050049,0.986146092414856,0.07704006135463715,0.9756097793579102,0.930232584476471
