epoch,accuracy,auc,auc_1,loss,lr,precision,recall,val_accuracy,val_auc,val_auc_1,val_loss,val_precision,val_recall
0,0.7532123327255249,0.7520506978034973,0.613318145275116,308.3150939941406,0.01,0.6566064357757568,0.7391653060913086,0.5792483687400818,0.656355082988739,0.47421038150787354,3120.485595703125,0.47512954473495483,0.9817987084388733
1,0.7775851488113403,0.7754852175712585,0.640575110912323,4211.46240234375,0.01,0.6861804127693176,0.766139805316925,0.811274528503418,0.7635459899902344,0.7410599589347839,61224.7265625,0.9083045125007629,0.562098503112793
2,0.7909443378448486,0.7892228960990906,0.6577247381210327,14756.9453125,0.01,0.7025986313819885,0.7820032238960266,0.8848039507865906,0.8591682314872742,0.8389079570770264,15248.642578125,0.9334220886230469,0.7513397932052612
3,0.8009381890296936,0.7996305227279663,0.6713330745697021,26690.939453125,0.01,0.7153179049491882,0.7941176295280457,0.6830065250396729,0.7083101868629456,0.537716805934906,146697.5625,0.5572687387466431,0.8143776655197144
4,0.834896981716156,0.8327780961990356,0.7188422083854675,27594.34765625,0.01,0.762069821357727,0.8238757848739624,0.834967315196991,0.7913172245025635,0.7803981900215149,67625.2109375,0.937190055847168,0.6077170372009277
5,0.8315317034721375,0.8301727175712585,0.7134444713592529,36117.2890625,0.01,0.7557027339935303,0.824458122253418,0.40522876381874084,0.4904424548149109,0.3758949339389801,535938.5625,0.37547528743743896,0.8476395010948181
6,0.8627371191978455,0.8619711995124817,0.7590761184692383,28401.056640625,0.005,0.7969215512275696,0.8587480187416077,0.6450163125991821,0.6711753606796265,0.5049441456794739,197202.6875,0.5232974886894226,0.7815845608711243
7,0.870385468006134,0.8693094849586487,0.7709925770759583,23026.99609375,0.005,0.8083083033561707,0.86479252576828,0.6617646813392639,0.691617488861084,0.5194290280342102,127038.140625,0.5363444089889526,0.8163265585899353
8,0.8598816990852356,0.8591938614845276,0.754571795463562,28735.37109375,0.005,0.792667806148529,0.8563018441200256,0.804330050945282,0.8010987639427185,0.6763721704483032,137940.265625,0.7231526970863342,0.7875536680221558
9,0.891698956489563,0.8915303349494934,0.8037213087081909,17585.560546875,0.0025,0.8358021378517151,0.8908215165138245,0.7381535768508911,0.7561113834381104,0.5921589136123657,121439.046875,0.6161776185035706,0.8319057822227478
10,0.8748725056648254,0.872890055179596,0.7792357802391052,21489.376953125,0.0025,0.8175145387649536,0.8645610213279724,0.7986111044883728,0.7568066716194153,0.7029917240142822,175832.4375,0.8390092849731445,0.5821697115898132
11,0.874260663986206,0.8734027147293091,0.7771325707435608,18471.09375,0.0025,0.8134533762931824,0.8697860836982727,0.6070261597633362,0.6437432765960693,0.47806036472320557,212400.578125,0.4907894730567932,0.7987151741981506
12,0.8990414142608643,0.8984332084655762,0.8162978887557983,12917.1767578125,0.00125,0.8477710485458374,0.8958779573440552,0.7328431606292725,0.7319834232330322,0.5873034596443176,143144.015625,0.6299722194671631,0.7283422350883484
13,0.8897613883018494,0.8881070017814636,0.8026707768440247,13757.2216796875,0.00125,0.8378722071647644,0.881156325340271,0.7332516312599182,0.7090814113616943,0.5902232527732849,173219.0625,0.6647127866744995,0.6070663928985596
