epoch,accuracy,auc,auc_1,loss,lr,precision,recall,val_accuracy,val_auc,val_auc_1,val_loss,val_precision,val_recall
0,0.47889047861099243,0.49634164571762085,0.37920132279396057,790.6006469726562,0.01,0.3778054714202881,0.567415714263916,0.6184640526771545,0.5,0.38153594732284546,389.7316589355469,0.0,0.0
1,0.5031613111495972,0.5051761269569397,0.3849346339702606,45.76572036743164,0.01,0.3850981891155243,0.5089644193649292,0.6184640526771545,0.5,0.38153594732284546,328.465087890625,0.0,0.0
2,0.4952070116996765,0.49613645672798157,0.3790109157562256,36.5540657043457,0.01,0.3774004578590393,0.4995986223220825,0.6188725233078003,0.5,0.3811274468898773,228.33221435546875,0.0,0.0
3,0.5070365071296692,0.5070602893829346,0.38568755984306335,28.685693740844727,0.01,0.38778844475746155,0.5084337592124939,0.6192810535430908,0.5,0.3807189464569092,108.51060485839844,0.0,0.0
4,0.5008158087730408,0.500740110874176,0.38127604126930237,17.038179397583008,0.01,0.3821915090084076,0.5032119750976562,0.6188725233078003,0.5,0.3811274468898773,97.6544189453125,0.0,0.0
5,0.4912298619747162,0.49316173791885376,0.3770222067832947,14.965441703796387,0.01,0.37376585602760315,0.49652034044265747,0.6188725233078003,0.5,0.3811274468898773,115.66902923583984,0.0,0.0
6,0.4956149160861969,0.49670669436454773,0.37869778275489807,10.489726066589355,0.01,0.37700915336608887,0.4958522915840149,0.6180555820465088,0.5,0.3819444477558136,60.561458587646484,0.0,0.0
7,0.4954109787940979,0.49230295419692993,0.37638241052627563,4.593591213226318,0.005,0.37730497121810913,0.49826064705848694,0.6188725233078003,0.5,0.3811274468898773,72.44283294677734,0.0,0.0
8,0.4995920956134796,0.5006619691848755,0.38108378648757935,5.390518665313721,0.005,0.38020408153533936,0.4990624189376831,0.6200980544090271,0.5,0.3799019753932953,41.16911315917969,0.0,0.0
9,0.4950030446052551,0.4965306222438812,0.37788087129592896,5.700962543487549,0.005,0.37652069330215454,0.4973219037055969,0.6184640526771545,0.5,0.38153594732284546,26.733545303344727,0.0,0.0
10,0.5,0.5010800957679749,0.3830028176307678,5.535409927368164,0.005,0.3820907473564148,0.5044129490852356,0.6192810535430908,0.5,0.3807189464569092,32.44322204589844,0.0,0.0
11,0.49887824058532715,0.49886471033096313,0.38068467378616333,4.099721908569336,0.005,0.3807879686355591,0.5013368725776672,0.6192810535430908,0.5,0.3807189464569092,31.767702102661133,0.0,0.0
12,0.5046910047531128,0.5011236667633057,0.38280075788497925,2.0542540550231934,0.0025,0.3854953944683075,0.5050856471061707,0.6184640526771545,0.5,0.38153594732284546,35.16367721557617,0.0,0.0
13,0.5063226819038391,0.5120053291320801,0.3881661891937256,2.620983362197876,0.0025,0.3870571255683899,0.5056179761886597,0.6192810535430908,0.5,0.3807189464569092,32.755714416503906,0.0,0.0
14,0.5041810870170593,0.49680107831954956,0.3763510286808014,2.184831142425537,0.0025,0.38477280735969543,0.5032119750976562,0.6184640526771545,0.5,0.38153594732284546,25.436819076538086,0.0,0.0
15,0.5041810870170593,0.5053195953369141,0.38525617122650146,1.2776890993118286,0.00125,0.3849765360355377,0.504953145980835,0.6188725233078003,0.5,0.3811274468898773,31.266633987426758,0.0,0.0
16,0.5006118416786194,0.49977996945381165,0.3799806237220764,1.0835992097854614,0.00125,0.38139915466308594,0.5008034110069275,0.6192810535430908,0.5,0.3807189464569092,30.109464645385742,0.0,0.0
17,0.49214765429496765,0.4937174320220947,0.37658146023750305,0.9294288754463196,0.00125,0.3731130063533783,0.4895610213279724,0.6180555820465088,0.5,0.3819444477558136,27.151775360107422,0.0,0.0
18,0.5049969553947449,0.5025471448898315,0.3834783434867859,0.6978100538253784,0.000625,0.3854953944683075,0.5054915547370911,0.6196895241737366,0.5,0.38031044602394104,29.824831008911133,0.0,0.0
19,0.4973485767841339,0.5002490282058716,0.38272523880004883,0.6933600902557373,0.000625,0.3784114122390747,0.49745649099349976,0.6184640526771545,0.5,0.38153594732284546,27.153738021850586,0.0,0.0
20,0.5025494694709778,0.49498283863067627,0.3740549683570862,0.6949287056922913,0.000625,0.3838959038257599,0.5053533315658569,0.6188725233078003,0.5,0.3811274468898773,26.687856674194336,0.0,0.0
21,0.5005099177360535,0.5006047487258911,0.37823453545570374,0.48933500051498413,0.0003125,0.3812640607357025,0.49879583716392517,0.6196895241737366,0.5,0.38031044602394104,27.377090454101562,0.0,0.0
22,0.4909239113330841,0.48811596632003784,0.37500596046447754,0.5152590870857239,0.0003125,0.3711593747138977,0.48527050018310547,0.6192810535430908,0.5,0.3807189464569092,28.482202529907227,0.0,0.0
23,0.5050989389419556,0.5022373795509338,0.38054609298706055,0.5231871008872986,0.0003125,0.38596490025520325,0.5065595507621765,0.6184640526771545,0.5,0.38153594732284546,27.850234985351562,0.0,0.0
24,0.49398326873779297,0.4940392076969147,0.3742114305496216,0.4041031002998352,0.00015625,0.3750764727592468,0.49210596084594727,0.6180555820465088,0.5,0.3819444477558136,28.109426498413086,0.0,0.0
25,0.5030593276023865,0.501471996307373,0.3813563585281372,0.4029645621776581,0.00015625,0.3824198544025421,0.49491435289382935,0.6180555820465088,0.5,0.3819444477558136,27.9274845123291,0.0,0.0
26,0.5075464248657227,0.5066484212875366,0.3839387893676758,0.4167487323284149,0.00015625,0.38871920108795166,0.5109742879867554,0.6180555820465088,0.5,0.3819444477558136,28.470300674438477,0.0,0.0
27,0.49704262614250183,0.49434953927993774,0.37776899337768555,0.37157097458839417,7.8125e-05,0.37855401635169983,0.49892932176589966,0.6196895241737366,0.5,0.38031044602394104,27.759428024291992,0.0,0.0
28,0.5075464248657227,0.502126932144165,0.38166356086730957,0.3799842298030853,7.8125e-05,0.3876878619194031,0.5037453174591064,0.6192810535430908,0.5,0.3807189464569092,27.67916488647461,0.0,0.0
29,0.49877625703811646,0.502336859703064,0.3835837244987488,0.38476479053497314,7.8125e-05,0.37931740283966064,0.4970541000366211,0.6188725233078003,0.5,0.3811274468898773,28.09348487854004,0.0,0.0
