epoch,accuracy,auc_4,auc_5,loss,lr,precision_2,recall_2,val_accuracy,val_auc_4,val_auc_5,val_loss,val_precision_2,val_recall_2
0,0.6957985162734985,0.6878888607025146,0.5456714630126953,4359.49072265625,0.01,0.5923753380775452,0.6483016610145569,0.38153594732284546,0.5,0.38153594732284546,428231.53125,0.38153594732284546,1.0
1,0.7324087023735046,0.7281816005706787,0.5861318111419678,18543.20703125,0.01,0.6325703263282776,0.710117757320404,0.37663400173187256,0.49008965492248535,0.3768438398838043,326410.25,0.37676936388015747,0.9689507484436035
2,0.7565776109695435,0.7524312138557434,0.6150010824203491,48399.50390625,0.01,0.6628047227859497,0.7350106835365295,0.6691176295280457,0.7149682641029358,0.5307944416999817,99306.75,0.5391470193862915,0.9078242182731628
3,0.8033856749534607,0.8010838627815247,0.6750876903533936,35223.65625,0.01,0.7204772233963013,0.7913880944252014,0.7712418437004089,0.7915369272232056,0.6273518800735474,39886.32421875,0.6473851203918457,0.8766094446182251
4,0.8365286588668823,0.8353311419487,0.7204130291938782,25464.1484375,0.01,0.7619749307632446,0.8302997946739197,0.8562091588973999,0.8403892517089844,0.7678359746932983,54456.01171875,0.8366164565086365,0.7738478183746338
5,0.8151131868362427,0.8145536780357361,0.6899208426475525,38670.98828125,0.01,0.73209547996521,0.812199056148529,0.540032684803009,0.6180891990661621,0.4487365782260895,320595.90625,0.45074018836021423,0.9464094042778015
6,0.79114830493927,0.790447473526001,0.6573411822319031,88981.21875,0.01,0.7007629871368408,0.7875133752822876,0.6319444179534912,0.6908068656921387,0.5055842995643616,913130.125,0.5098608136177063,0.9401069283485413
7,0.7900264859199524,0.7900994420051575,0.6554501056671143,127412.359375,0.01,0.6978229880332947,0.790404736995697,0.48366013169288635,0.5265445113182068,0.39581090211868286,256716.96875,0.3989070951938629,0.7056928277015686
8,0.8157250881195068,0.8186367750167847,0.6884797215461731,111656.3984375,0.005,0.7254672646522522,0.8308804035186768,0.845588207244873,0.826346218585968,0.7533128261566162,155912.84375,0.8301435112953186,0.7462365627288818
9,0.8186824321746826,0.8199462890625,0.6935348510742188,105216.4140625,0.005,0.7327156066894531,0.8252608776092529,0.8296568393707275,0.8045260310173035,0.7358521223068237,214575.390625,0.8274111747741699,0.6988210082054138
10,0.8073628544807434,0.8078290820121765,0.6787704229354858,122212.6171875,0.005,0.7198573350906372,0.8097913265228271,0.7973856329917908,0.8039484024047852,0.6620092391967773,243141.515625,0.6954177618026733,0.831364095211029
11,0.8254129886627197,0.8261898756027222,0.7029937505722046,89329.84375,0.0025,0.7423915863037109,0.8294511437416077,0.7879902124404907,0.8062727451324463,0.6472404599189758,206727.640625,0.6677471399307251,0.8831725716590881
12,0.8138894438743591,0.8150460124015808,0.6870750188827515,85434.5234375,0.0025,0.7267552018165588,0.8199090361595154,0.8888888955116272,0.8745659589767456,0.8232264518737793,112156.7421875,0.8859138488769531,0.8139037489891052
13,0.8199061751365662,0.8202151656150818,0.6958550214767456,85651.5625,0.0025,0.7363876104354858,0.8215146064758301,0.5751634240150452,0.6357666850090027,0.46438947319984436,556941.1875,0.46975693106651306,0.8906752467155457
14,0.8295941352844238,0.8300462365150452,0.7098016142845154,77406.671875,0.0025,0.7492774724960327,0.8315958380699158,0.764297366142273,0.7870393991470337,0.6187114119529724,221397.078125,0.6371406316757202,0.8817204236984253
15,0.8121558427810669,0.813740074634552,0.6843864917755127,97924.828125,0.0025,0.7235599756240845,0.8203961253166199,0.8729575276374817,0.8691142797470093,0.778408944606781,113313.2421875,0.8204334378242493,0.8530042767524719
16,0.8524372577667236,0.8524600267410278,0.7426669597625732,59589.0,0.00125,0.7804997563362122,0.852555513381958,0.8868464231491089,0.8745413422584534,0.8146790862083435,98935.875,0.8725824952125549,0.8229613900184631
17,0.8520293831825256,0.8529664278030396,0.7413154244422913,56624.16015625,0.00125,0.7776699066162109,0.8569136261940002,0.8782680034637451,0.8620921969413757,0.8076494932174683,90012.34375,0.8760330677032471,0.7935829162597656
18,0.8542729020118713,0.8549779653549194,0.7447835206985474,54572.55859375,0.00125,0.7812423706054688,0.857945442199707,0.7655228972434998,0.7630622386932373,0.62621009349823,152962.546875,0.6720841526985168,0.7526766657829285
19,0.8648786544799805,0.8655894994735718,0.7605315446853638,42354.671875,0.000625,0.7955381274223328,0.8685759902000427,0.8684640526771545,0.8516176342964172,0.7910193800926208,87575.3046875,0.8617021441459656,0.7805139422416687
20,0.8702834844589233,0.8704052567481995,0.7693274021148682,41048.6171875,0.000625,0.8045521974563599,0.8709158897399902,0.9011437892913818,0.8894570469856262,0.8394697308540344,70054.5078125,0.8939566612243652,0.8403000831604004
21,0.8705894351005554,0.8710956573486328,0.7697015404701233,37814.07421875,0.000625,0.8041871786117554,0.873228132724762,0.8991013169288635,0.8858107924461365,0.8382151126861572,67434.6484375,0.8967517614364624,0.8302900195121765
