epoch,accuracy,auc,auc_1,loss,lr,precision,recall,val_accuracy,val_auc,val_auc_1,val_loss,val_precision,val_recall
0,0.8347851634025574,0.8745705485343933,0.774942934513092,0.9982211589813232,0.001,0.7444074153900146,0.8401826620101929,0.931640625,0.9461331367492676,0.8584632277488708,0.3186015486717224,0.8515284061431885,0.8441558480262756
1,0.9054642915725708,0.9568704962730408,0.9239347577095032,0.1822715401649475,0.001,0.8496088981628418,0.9036500453948975,0.927734375,0.9787286520004272,0.9161162972450256,0.27125945687294006,0.7781690359115601,0.9525862336158752
2,0.9313007593154907,0.9722132682800293,0.9514555335044861,0.1281641125679016,0.001,0.8894317150115967,0.9290894269943237,0.9384765625,0.9677023887634277,0.9371947646141052,0.23661665618419647,0.9567567706108093,0.7629310488700867
3,0.9407048225402832,0.9796172976493835,0.9639118909835815,0.10074033588171005,0.001,0.9050698280334473,0.9378182888031006,0.77734375,0.9569196105003357,0.7888153791427612,0.9098342061042786,0.5010989308357239,0.9956331849098206
4,0.9392199516296387,0.9811607599258423,0.9685773849487305,0.095725879073143,0.001,0.9024264216423035,0.9367631077766418,0.9609375,0.9773632884025574,0.9409103393554688,0.15577289462089539,0.9366515874862671,0.8884119987487793
5,0.9439715147018433,0.9833393096923828,0.9688959717750549,0.08704134821891785,0.001,0.907565176486969,0.944131076335907,0.94921875,0.9721003174781799,0.9515201449394226,0.2002974897623062,0.9593908786773682,0.8111587762832642
6,0.9492179751396179,0.9849066138267517,0.9741136431694031,0.08328548818826675,0.001,0.9171199202537537,0.9483128190040588,0.9599609375,0.9736875295639038,0.9387767314910889,0.16855889558792114,0.9398148059844971,0.8787878751754761
7,0.9612947702407837,0.9898871779441833,0.9821774959564209,0.06159060448408127,0.001,0.9371563196182251,0.9595174193382263,0.94921875,0.9857057332992554,0.9438385963439941,0.19829067587852478,0.8383458852767944,0.9612069129943848
8,0.96763014793396,0.9928369522094727,0.9869253635406494,0.04707169905304909,0.0005,0.9476040005683899,0.965656042098999,0.947265625,0.985781729221344,0.9439805746078491,0.1985766440629959,0.8371211886405945,0.9525862336158752
9,0.9683231115341187,0.9928387403488159,0.9864574670791626,0.04887114465236664,0.0005,0.9481987953186035,0.967015266418457,0.958984375,0.9760266542434692,0.9543856978416443,0.1581292599439621,0.9351851940155029,0.8782608509063721
10,0.9733716249465942,0.9951881170272827,0.9911041259765625,0.03811227157711983,0.0005,0.9566367268562317,0.9717969298362732,0.9560546875,0.9813710451126099,0.9493184089660645,0.17013536393642426,0.8780487775802612,0.9350649118423462
11,0.9786180853843689,0.9962989091873169,0.9928061962127686,0.030886758118867874,0.00025,0.9650608897209167,0.977479875087738,0.9150390625,0.9778581857681274,0.8958130478858948,0.3316861391067505,0.7368420958518982,0.9696969985961914
12,0.9798060059547424,0.9969288110733032,0.9927635788917542,0.02778218872845173,0.00025,0.9663665294647217,0.9793344140052795,0.953125,0.983455240726471,0.9525177478790283,0.17818844318389893,0.859375,0.9482758641242981
13,0.9783211350440979,0.9970746636390686,0.9946408271789551,0.02900005131959915,0.00025,0.9628164768218994,0.9790828824043274,0.9599609375,0.9723719358444214,0.9541438817977905,0.1658453345298767,0.9523809552192688,0.8658008575439453
14,0.9827756881713867,0.9975832104682922,0.9950845241546631,0.02293991670012474,0.000125,0.9718309640884399,0.9817449450492859,0.9365234375,0.9839640855789185,0.9357721209526062,0.23697428405284882,0.7992831468582153,0.9612069129943848
15,0.9831716418266296,0.9975342750549316,0.9950230717658997,0.023301156237721443,0.000125,0.972606360912323,0.9820085763931274,0.9521484375,0.9843747615814209,0.9456123113632202,0.1843727082014084,0.8521400690078735,0.9521738886833191
16,0.9838646054267883,0.9980984926223755,0.9963130950927734,0.021201401948928833,0.000125,0.9729586243629456,0.9836505055427551,0.9580078125,0.9844033718109131,0.958987832069397,0.15476125478744507,0.8830645084381104,0.9399141669273376
17,0.9859433770179749,0.9985377192497253,0.9966470003128052,0.019380318000912666,6.25e-05,0.9766144156455994,0.9855189323425293,0.95703125,0.9848237037658691,0.9599431753158569,0.15323254466056824,0.8780487775802612,0.939130425453186
18,0.9844585061073303,0.9981889724731445,0.9960008859634399,0.019734403118491173,6.25e-05,0.9742363691329956,0.983905553817749,0.939453125,0.987264096736908,0.9446412324905396,0.19906198978424072,0.8095238208770752,0.9567099809646606
19,0.9841615557670593,0.9983224868774414,0.9962788224220276,0.019899485632777214,6.25e-05,0.9731953144073486,0.9841653108596802,0.94921875,0.9845953583717346,0.949866771697998,0.18349753320217133,0.8435114622116089,0.9525862336158752
